mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-196a-1-3p,1.0,1.0,1.0,0,13,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-196a-3p,1.0,1.0,1.0,0,13,0.0,201,26380,0.0076194086429112965,0.0
hsa-miR-196a-5p,0.0005198891767104145,0.10657728122563496,0.6394636873538098,11,13,0.8461538461538461,9613,26380,0.3644048521607278,2.3220158599332636
hsa-miR-196b-3p,1.0,1.0,1.0,0,13,0.0,16,26380,0.0006065200909780137,0.0
hsa-miR-196b-5p,0.7226946792896289,1.0,1.0,2,13,0.15384615384615385,4873,26380,0.18472327520849127,0.8328466116276501
hsa-miR-197-3p,0.6557321528622662,1.0,1.0,1,13,0.07692307692307693,2077,26380,0.07873388931008339,0.977000851820303
hsa-miR-197-5p,1.0,1.0,1.0,0,13,0.0,1072,26380,0.04063684609552692,0.0
hsa-miR-1972,1.0,1.0,1.0,0,13,0.0,29,26380,0.0010993176648976498,0.0
hsa-miR-1973,1.0,1.0,1.0,0,13,0.0,74,26380,0.002805155420773313,0.0
hsa-miR-199a-3p,0.6061041355507135,1.0,1.0,1,13,0.07692307692307693,1824,26380,0.06914329037149355,1.1125168690958165
hsa-miR-199a-5p,1.0,1.0,1.0,0,13,0.0,794,26380,0.030098559514783928,0.0
hsa-miR-199b-3p,0.44274406697882607,1.0,1.0,1,13,0.07692307692307693,1160,26380,0.04397270659590599,1.7493368700265253
hsa-miR-199b-5p,1.0,1.0,1.0,0,13,0.0,377,26380,0.014291129643669447,0.0
hsa-miR-19a-3p,0.00038030740963629963,0.10657728122563496,0.46777811385264856,11,13,0.8461538461538461,9318,26380,0.3532221379833207,2.395528918387901
hsa-miR-19a-5p,1.0,1.0,1.0,0,13,0.0,532,26380,0.020166793025018954,0.0
hsa-miR-19b-1-5p,1.0,1.0,1.0,0,13,0.0,1534,26380,0.058150113722517056,0.0
hsa-miR-19b-3p,0.002707439873875709,0.16820656434609857,1.0,10,13,0.7692307692307693,9315,26380,0.3531084154662623,2.178454932078121
hsa-miR-200a-3p,0.21480859891748275,1.0,1.0,2,13,0.15384615384615385,1766,26380,0.06694465504169826,2.2981095914278247
hsa-miR-200a-5p,0.6845772788701926,1.0,1.0,1,13,0.07692307692307693,2240,26380,0.08491281273692192,0.9059065934065934
hsa-miR-200b-3p,0.4297530742331354,1.0,1.0,2,13,0.15384615384615385,2917,26380,0.11057619408642912,1.3913135202130746
hsa-miR-200b-5p,0.15816799782987848,1.0,1.0,1,13,0.07692307692307693,347,26380,0.01315390447308567,5.84792728884948
hsa-miR-200c-3p,0.4237936514659264,1.0,1.0,2,13,0.15384615384615385,2884,26380,0.10932524639878696,1.4072335431558733
hsa-miR-200c-5p,1.0,1.0,1.0,0,13,0.0,176,26380,0.00667172100075815,0.0
hsa-miR-202-3p,1.0,1.0,1.0,0,13,0.0,223,26380,0.008453373768006065,0.0
hsa-miR-202-5p,1.0,1.0,1.0,0,13,0.0,131,26380,0.004965883244882487,0.0
hsa-miR-203a-3p,0.28195716623147016,1.0,1.0,3,13,0.23076923076923078,3775,26380,0.1431008339651251,1.612633723892002
hsa-miR-203a-5p,1.0,1.0,1.0,0,13,0.0,15,26380,0.0005686125852918878,0.0
hsa-miR-203b-3p,1.0,1.0,1.0,0,13,0.0,97,26380,0.0036770280515542077,0.0
hsa-miR-203b-5p,1.0,1.0,1.0,0,13,0.0,1909,26380,0.07236542835481426,0.0
hsa-miR-204-3p,1.0,1.0,1.0,0,13,0.0,48,26380,0.0018195602729340408,0.0
hsa-miR-204-5p,0.4724428301376002,1.0,1.0,1,13,0.07692307692307693,1266,26380,0.04799090219863533,1.6028679061854418
hsa-miR-205-5p,0.4497899927142319,1.0,1.0,2,13,0.15384615384615385,3029,26380,0.11482183472327522,1.339868451126292
hsa-miR-206,1.0,1.0,1.0,0,13,0.0,1187,26380,0.04499620924943139,0.0
hsa-miR-208a-3p,1.0,1.0,1.0,0,13,0.0,50,26380,0.0018953752843062926,0.0
hsa-miR-208a-5p,1.0,1.0,1.0,0,13,0.0,10,26380,0.0003790750568612585,0.0
hsa-miR-208b-3p,1.0,1.0,1.0,0,13,0.0,24,26380,0.0009097801364670204,0.0
hsa-miR-20a-3p,0.020139696943811132,0.5253720559393272,1.0,3,13,0.23076923076923078,1225,26380,0.04643669446550417,4.969544740973313
hsa-miR-20a-5p,0.035945844229345734,0.6908341937827384,1.0,8,13,0.6153846153846154,8849,26380,0.33544351781652765,1.8345401914166748
hsa-miR-20b-3p,1.0,1.0,1.0,0,13,0.0,635,26380,0.024071266110689916,0.0
hsa-miR-20b-5p,0.09039915635617861,1.0,1.0,8,13,0.6153846153846154,10403,26380,0.39435178165276724,1.5604966023114635
hsa-miR-21-3p,0.6123158703118757,1.0,1.0,1,13,0.07692307692307693,1854,26380,0.07028051554207733,1.0945149780101238
hsa-miR-21-5p,0.021310908330669082,0.5349472907494484,1.0,8,13,0.6153846153846154,8118,26380,0.3077331311599697,1.9997346826615119
hsa-miR-210-3p,0.015490204987401867,0.4885372342180589,1.0,8,13,0.6153846153846154,7713,26380,0.2923805913570887,2.1047382540964805
hsa-miR-210-5p,1.0,1.0,1.0,0,13,0.0,25,26380,0.0009476876421531463,0.0
hsa-miR-211-5p,1.0,1.0,1.0,0,13,0.0,92,26380,0.0034874905231235785,0.0
hsa-miR-2110,0.29291727785782323,1.0,1.0,2,13,0.15384615384615385,2182,26380,0.08271417740712661,1.8599732073609252
hsa-miR-2113,1.0,1.0,1.0,0,13,0.0,54,26380,0.002047005307050796,0.0
hsa-miR-2114-3p,1.0,1.0,1.0,0,13,0.0,8,26380,0.00030326004548900684,0.0
hsa-miR-2114-5p,1.0,1.0,1.0,0,13,0.0,72,26380,0.0027293404094010615,0.0
hsa-miR-2115-5p,0.38718694812376186,1.0,1.0,1,13,0.07692307692307693,975,26380,0.036959818043972706,2.081262327416174
hsa-miR-2116-3p,1.0,1.0,1.0,0,13,0.0,92,26380,0.0034874905231235785,0.0
hsa-miR-212-3p,0.5392125228490553,1.0,1.0,1,13,0.07692307692307693,1526,26380,0.05784685367702805,1.329771146284908
hsa-miR-212-5p,1.0,1.0,1.0,0,13,0.0,274,26380,0.010386656557998484,0.0
hsa-miR-214-3p,0.04153477537263987,0.738557028700011,1.0,4,13,0.3076923076923077,2804,26380,0.1062926459438969,2.894765719302096
hsa-miR-214-5p,1.0,1.0,1.0,0,13,0.0,194,26380,0.007354056103108415,0.0
hsa-miR-215-5p,1.0,1.0,1.0,0,13,0.0,302,26380,0.011448066717210008,0.0
hsa-miR-216a-3p,1.0,1.0,1.0,0,13,0.0,104,26380,0.003942380591357089,0.0
hsa-miR-216a-5p,1.0,1.0,1.0,0,13,0.0,133,26380,0.005041698256254739,0.0
hsa-miR-216b-3p,1.0,1.0,1.0,0,13,0.0,34,26380,0.001288855193328279,0.0
hsa-miR-216b-5p,1.0,1.0,1.0,0,13,0.0,111,26380,0.00420773313115997,0.0
hsa-miR-217-3p,1.0,1.0,1.0,0,13,0.0,241,26380,0.00913570887035633,0.0
hsa-miR-217-5p,0.10317536967892138,1.0,1.0,1,13,0.07692307692307693,220,26380,0.008339651250947688,9.223776223776223
hsa-miR-218-1-3p,1.0,1.0,1.0,0,13,0.0,545,26380,0.020659590598938588,0.0
hsa-miR-218-2-3p,1.0,1.0,1.0,0,13,0.0,222,26380,0.00841546626231994,0.0
