mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-5585-3p,0.8302492948097959,1.0,1.0,1,1202,0.0008319467554076539,38,26380,0.0014404852160727823,0.5775461949382609
hsa-miR-5586-3p,0.785603779494026,1.0,1.0,1,1202,0.0008319467554076539,33,26380,0.0012509476876421532,0.6650531941713306
hsa-miR-5587-5p,1.0,1.0,1.0,0,1202,0.0,6,26380,0.0002274450341167551,0.0
hsa-miR-559,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-561-3p,0.2307947225180969,1.0,1.0,2,1202,0.0016638935108153079,20,26380,0.000758150113722517,2.1946755407653913
hsa-miR-561-5p,0.9999999680607863,1.0,1.0,24,1202,0.019966722129783693,1288,26380,0.0488248673237301,0.4089457529376505
hsa-miR-562,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-567,0.6818942386100822,1.0,1.0,2,1202,0.0016638935108153079,51,26380,0.0019332827899924184,0.8606570748099573
hsa-miR-5680,1.0,1.0,1.0,0,1202,0.0,7,26380,0.00026535253980288095,0.0
hsa-miR-5682,0.5071659910868417,1.0,1.0,10,1202,0.008319467554076539,213,26380,0.008074298711144807,1.0303641036457234
hsa-miR-5683,0.5412689877931893,1.0,1.0,3,1202,0.0024958402662229617,62,26380,0.0023502653525398027,1.0619397777897053
hsa-miR-5688,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-5690,1.0,1.0,1.0,0,1202,0.0,40,26380,0.001516300227445034,0.0
hsa-miR-5699-3p,0.24215804865164972,1.0,1.0,6,1202,0.004991680532445923,92,26380,0.0034874905231235785,1.4313101352817768
hsa-miR-5699-5p,0.6604673321162242,1.0,1.0,2,1202,0.0016638935108153079,49,26380,0.0018574677786201668,0.895785935006282
hsa-miR-570-3p,0.5773481782742116,1.0,1.0,7,1202,0.005823627287853577,157,26380,0.005951478392721759,0.9785177570291552
hsa-miR-5701,0.32302861043982484,1.0,1.0,4,1202,0.0033277870216306157,63,26380,0.0023881728582259287,1.39344478778755
hsa-miR-571,0.8965411110311544,1.0,1.0,7,1202,0.005823627287853577,227,26380,0.00860500379075057,0.6767721931875654
hsa-miR-572,1.0,1.0,1.0,0,1202,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-573,0.9907918433023345,1.0,1.0,3,1202,0.0024958402662229617,183,26380,0.006937073540561031,0.35978287553531
hsa-miR-574-3p,0.9991753579469798,1.0,1.0,18,1202,0.014975041597337771,740,26380,0.028051554207733132,0.5338399964023924
hsa-miR-574-5p,0.012339246429043946,1.0,1.0,187,1202,0.15557404326123128,3516,26380,0.1332827899924185,1.167247798985006
hsa-miR-576-3p,0.999827419494765,1.0,1.0,69,1202,0.05740432612312812,2205,26380,0.0835860500379075,0.6867692168381495
hsa-miR-576-5p,0.9999789231609563,1.0,1.0,23,1202,0.01913477537437604,1031,26380,0.039082638362395755,0.48959784129586803
hsa-miR-577,0.8254590266074822,1.0,1.0,12,1202,0.009983361064891847,330,26380,0.012509476876421531,0.7980638330055967
hsa-miR-579-3p,0.9841961394305858,1.0,1.0,10,1202,0.008319467554076539,388,26380,0.01470811220621683,0.5656380259704615
hsa-miR-579-5p,0.9267869617395992,1.0,1.0,1,1202,0.0008319467554076539,56,26380,0.0021228203184230476,0.3919063465652484
hsa-miR-580-3p,0.9834020831060841,1.0,1.0,2,1202,0.0016638935108153079,130,26380,0.004927975739196361,0.3376423908869833
hsa-miR-582-3p,0.989847152553965,1.0,1.0,25,1202,0.020798668885191347,823,26380,0.031197877179681578,0.6666693623224152
hsa-miR-582-5p,0.7264481241720528,1.0,1.0,78,1202,0.064891846921797,1816,26380,0.06884003032600455,0.9426469833683947
hsa-miR-584-3p,1.0,1.0,1.0,0,1202,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-584-5p,0.996227247610224,1.0,1.0,59,1202,0.04908485856905158,1761,26380,0.06675511751326763,0.7352973134875529
hsa-miR-585-3p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-589-3p,0.999005715263633,1.0,1.0,17,1202,0.014143094841930116,703,26380,0.026648976497346474,0.5307181250784018
hsa-miR-589-5p,0.9998886980658724,1.0,1.0,56,1202,0.04658901830282862,1887,26380,0.07153146322971948,0.6513080566129407
hsa-miR-590-3p,0.9998821598872899,1.0,1.0,16,1202,0.013311148086522463,752,26380,0.02850644427596664,0.4669522427160407
hsa-miR-590-5p,0.6048185937674045,1.0,1.0,38,1202,0.03161397670549085,861,26380,0.03263836239575436,0.9686140598035408
hsa-miR-591,0.07596373014142617,1.0,1.0,13,1202,0.010815307820299502,183,26380,0.006937073540561031,1.5590591273196768
hsa-miR-592,0.31004596032151005,1.0,1.0,55,1202,0.045757071547420966,1124,26380,0.04260803639120546,1.0739070706592215
hsa-miR-593-3p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-597-3p,0.7172193739083113,1.0,1.0,4,1202,0.0033277870216306157,106,26380,0.004018195602729341,0.8281794493454305
hsa-miR-597-5p,0.483388842027783,1.0,1.0,44,1202,0.036605657237936774,952,26380,0.03608794541319181,1.0143458381688784
hsa-miR-598-3p,0.9709188090017725,1.0,1.0,20,1202,0.016638935108153077,635,26380,0.024071266110689916,0.6912363907922491
hsa-miR-598-5p,0.7253707854684179,1.0,1.0,10,1202,0.008319467554076539,254,26380,0.009628506444275967,0.8640454884903114
hsa-miR-601,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-603,0.9023822595973254,1.0,1.0,6,1202,0.004991680532445923,202,26380,0.0076573161485974225,0.6518838239897201
hsa-miR-605-3p,1.0,1.0,1.0,0,1202,0.0,7,26380,0.00026535253980288095,0.0
hsa-miR-605-5p,1.0,1.0,1.0,0,1202,0.0,44,26380,0.0016679302501895375,0.0
hsa-miR-608,1.0,1.0,1.0,0,1202,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-610,1.0,1.0,1.0,0,1202,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-612,1.0,1.0,1.0,0,1202,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-615-3p,0.9965080003412152,1.0,1.0,11,1202,0.009151414309484194,475,26380,0.01800606520090978,0.5082406515456696
hsa-miR-615-5p,0.48998441011070726,1.0,1.0,5,1202,0.004159733777038269,101,26380,0.0038286580742987113,1.0864730399828668
hsa-miR-616-3p,0.30045701430550237,1.0,1.0,5,1202,0.004159733777038269,80,26380,0.003032600454890068,1.3716722129783694
hsa-miR-616-5p,0.9476941042635223,1.0,1.0,4,1202,0.0033277870216306157,166,26380,0.0062926459438968916,0.5288374797025038
hsa-miR-618,0.9579846527883076,1.0,1.0,9,1202,0.0074875207986688855,320,26380,0.012130401819560273,0.6172524958402662
hsa-miR-619-5p,0.96808846257035,1.0,1.0,25,1202,0.020798668885191347,760,26380,0.02880970432145565,0.7219327436728259
hsa-miR-622,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-624-3p,1.0,1.0,1.0,0,1202,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-624-5p,0.6591569409553142,1.0,1.0,30,1202,0.024958402662229616,699,26380,0.02649734647460197,0.9419208329465197
hsa-miR-625-3p,0.7329255589806098,1.0,1.0,19,1202,0.015806988352745424,469,26380,0.017778620166793026,0.889100965342056
hsa-miR-625-5p,0.9999788580838438,1.0,1.0,120,1202,0.09983361064891846,3631,26380,0.13764215314632297,0.7253127647806304
hsa-miR-627-5p,0.8295272674020668,1.0,1.0,19,1202,0.015806988352745424,503,26380,0.019067475360121305,0.8290026893547202
hsa-miR-628-3p,0.8860035285070353,1.0,1.0,11,1202,0.009151414309484194,328,26380,0.012433661865049279,0.7360192362322958
hsa-miR-628-5p,0.9997787328798453,1.0,1.0,19,1202,0.015806988352745424,821,26380,0.031122062168309324,0.507902987509652
hsa-miR-629-3p,0.9460415961268938,1.0,1.0,4,1202,0.0033277870216306157,165,26380,0.0062547384382107656,0.5320425553370646
hsa-miR-629-5p,0.9936153696609088,1.0,1.0,54,1202,0.04492512479201331,1600,26380,0.060652009097801364,0.7407029950083195
hsa-miR-630,0.9876199765424597,1.0,1.0,1,1202,0.0008319467554076539,94,26380,0.00356330553449583,0.23347612135802034
hsa-miR-636,0.9776150711123918,1.0,1.0,8,1202,0.0066555740432612314,316,26380,0.011978771796815769,0.5556140609532636
hsa-miR-638,1.0,1.0,1.0,0,1202,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-639,0.2137505304735583,1.0,1.0,2,1202,0.0016638935108153079,19,26380,0.0007202426080363912,2.3101847797530435
hsa-miR-641,0.9997357012073336,1.0,1.0,30,1202,0.024958402662229616,1134,26380,0.04298711144806672,0.5806019949114791
hsa-miR-642a-3p,0.8120787469469288,1.0,1.0,4,1202,0.0033277870216306157,122,26380,0.004624715693707354,0.7195657510706199
hsa-miR-642a-5p,0.8467700628154532,1.0,1.0,18,1202,0.014975041597337771,486,26380,0.018423047763457163,0.8128427928760709
hsa-miR-642b-3p,0.7292284913178384,1.0,1.0,1,1202,0.0008319467554076539,28,26380,0.0010614101592115238,0.7838126931304968
hsa-miR-642b-5p,0.7373370419460641,1.0,1.0,4,1202,0.0033277870216306157,109,26380,0.004131918119787718,0.8053855195469325
hsa-miR-643,0.8668676684948462,1.0,1.0,3,1202,0.0024958402662229617,106,26380,0.004018195602729341,0.6211345870090729
hsa-miR-648,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-6500-3p,0.8934144584806092,1.0,1.0,3,1202,0.0024958402662229617,113,26380,0.004283548142532221,0.5826572232120507
hsa-miR-6503-3p,1.0,1.0,1.0,0,1202,0.0,2,26380,7.581501137225171e-05,0.0
